// Created:   15:39:52 05-10-21,,,,
,,,,
## 05-10-21_03PM_IDCABOT_P1.csv ##,,,,
,,,,
,,CCC Pos #1,,
,,,,
,COOLER_DRV,IDCABOT,ERROR (V),Error (mV)
,,,,
, RMS_VAC,RMS_VAC,RMS Err (V),mv
15:41:40,4.9351,4.936,-0.0009,-0.90
15:41:42,4.9422,4.9418,0.0004,0.40
15:41:44,4.9477,4.9474,0.0003,0.30
15:41:47,4.9529,4.952,0.0009,0.90
15:41:49,4.9561,4.9551,0.001,1.00
15:41:51,4.9578,4.9569,0.0009,0.90
15:41:54,4.9615,4.9603,0.0012,1.20
15:41:56,4.9655,4.9643,0.001200000000001,1.20
15:41:58,4.9683,4.9675,0.0008,0.80
15:42:03,5.0787,5.0774,0.001300000000001,1.30
15:42:05,5.082,5.0806,0.001399999999999,1.40
15:42:07,5.0831,5.0816,0.0015,1.50
15:42:10,5.0852,5.0838,0.0014,1.40
15:42:12,5.0865,5.0853,0.0012,1.20
15:42:14,5.0901,5.0887,0.001399999999999,1.40
15:42:16,5.0916,5.09,0.0016,1.60
15:42:19,5.0943,5.0929,0.001399999999999,1.40
15:42:21,5.0959,5.0947,0.001200000000001,1.20
15:42:23,5.0992,5.098,0.0012,1.20
15:42:26,5.1018,5.1005,0.0013,1.30
15:42:28,5.1033,5.102,0.0013,1.30
15:42:30,5.2058,5.2056,0.0002,0.20
15:42:32,5.2112,5.2099,0.0013,1.30
15:42:35,5.2144,5.2128,0.001600000000001,1.60
15:42:37,5.2173,5.2156,0.0017,1.70
15:42:39,5.2197,5.218,0.0017,1.70
15:42:41,5.22,5.2183,0.0017,1.70
15:42:44,5.2218,5.22,0.0018,1.80
15:42:46,5.286,5.2844,0.0016,1.60
15:42:48,5.2904,5.2887,0.0017,1.70
15:42:51,5.2904,5.2887,0.0017,1.70
15:42:53,5.2931,5.2911,0.002,2.00
15:42:55,5.2954,5.2937,0.0017,1.70
15:42:57,5.2967,5.295,0.0017,1.70
15:43:00,5.2985,5.2967,0.001799999999999,1.80
15:43:02,5.2998,5.2983,0.0015,1.50
15:43:04,5.3002,5.2985,0.0017,1.70
15:43:07,5.3033,5.3017,0.0016,1.60
15:43:09,5.3048,5.3035,0.001300000000001,1.30
15:43:11,5.3075,5.3058,0.0017,1.70
15:43:13,5.3093,5.3078,0.0015,1.50
15:43:16,5.3115,5.3102,0.0013,1.30
15:43:18,5.3126,5.311,0.0016,1.60
15:43:20,5.3134,5.312,0.001399999999999,1.40
15:43:23,5.3152,5.3136,0.0016,1.60
15:43:25,5.3152,5.3137,0.0015,1.50
15:43:27,5.3163,5.315,0.0013,1.30
15:43:29,5.3182,5.3168,0.0014,1.40
15:43:32,5.3186,5.3171,0.0015,1.50
15:43:34,5.3196,5.3183,0.001300000000001,1.30
