// Created:   16:19:07 05-10-21,,,,
,,,,
,,## 05-10-21_04PM_IDCABOT_P2.csv ##,,
,,CCC Pos #2,,
,,,,
,COOLER_DRV,IDCABOT,ERROR,
──────────────────────────────────────────────────────────────────────────────,,,,
, RMS_VAC,RMS_VAC,ERROR (V),ERROR (mV)
16:19:30,4.7182,4.7165,0.0017,1.70000000000048
16:19:32,4.7216,4.7198,0.0018,1.80000000000025
16:19:34,4.7226,4.7209,0.0017,1.69999999999959
16:19:37,4.7273,4.7257,0.0016,1.59999999999982
16:19:39,4.7287,4.7271,0.0016,1.59999999999982
16:19:41,4.7318,4.73,0.001799999999999,1.79999999999936
16:19:44,4.7323,4.7306,0.0017,1.70000000000048
16:19:46,4.7329,4.7314,0.0015,1.50000000000006
16:19:48,4.7357,4.7341,0.0016,1.59999999999982
16:19:50,4.7373,4.7356,0.0017,1.70000000000048
16:19:53,4.948,4.9475,0.000500000000001,0.500000000000611
16:19:55,4.9523,4.9515,0.0008,0.799999999999912
16:19:58,4.9534,4.9524,0.001,1.00000000000033
16:20:00,4.9546,4.9534,0.0012,1.19999999999987
16:20:03,4.9573,4.9562,0.0011,1.1000000000001
16:20:05,4.9603,4.9594,0.0009,0.899999999999679
16:20:07,4.9632,4.9626,0.0006,0.600000000000378
16:20:10,4.9655,4.9644,0.0011,1.1000000000001
16:20:12,4.9673,4.9665,0.0008,0.799999999999912
16:20:14,4.9699,4.9691,0.0008,0.799999999999912
16:20:17,4.9695,4.9688,0.0007,0.700000000000145
16:20:19,4.97,4.9742,-0.0042,-4.19999999999998
16:20:21,5.0769,5.0756,0.001300000000001,1.30000000000052
16:20:23,5.0794,5.0783,0.0011,1.1000000000001
16:20:26,5.0804,5.0792,0.0012,1.19999999999987
16:20:28,5.0821,5.0809,0.0012,1.19999999999987
16:20:31,5.0829,5.0819,0.001,1.00000000000033
16:20:33,5.086,5.0846,0.0014,1.40000000000029
16:20:35,5.0884,5.0871,0.0013,1.29999999999963
16:20:38,5.0891,5.0875,0.0016,1.59999999999982
16:20:40,5.0906,5.0894,0.0012,1.19999999999987
16:20:42,5.0926,5.0913,0.0013,1.29999999999963
16:20:44,5.0932,5.0921,0.0011,1.1000000000001
16:20:47,5.096,5.0948,0.0012,1.19999999999987
16:20:49,5.1993,5.1983,0.001,1.00000000000033
16:20:51,5.2036,5.2022,0.001399999999999,1.3999999999994
16:20:54,5.2054,5.2038,0.0016,1.59999999999982
16:20:56,5.2089,5.2074,0.0015,1.50000000000006
16:20:58,5.2111,5.2097,0.0014,1.40000000000029
16:21:01,5.2137,5.2121,0.0016,1.59999999999982
16:21:03,5.214,5.2125,0.0015,1.50000000000006
16:21:05,5.2784,5.2771,0.001300000000001,1.30000000000052
16:21:08,5.2803,5.2788,0.0015,1.50000000000006
16:21:10,5.2822,5.2805,0.0017,1.69999999999959
16:21:12,5.2818,5.2803,0.001499999999999,1.49999999999917
16:21:14,5.2828,5.2812,0.0016,1.59999999999982
16:21:17,5.2838,5.2825,0.001300000000001,1.30000000000052
16:21:19,5.2855,5.2839,0.0016,1.59999999999982
16:21:21,5.2875,5.2858,0.0017,1.69999999999959
16:21:23,5.289,5.2875,0.0015,1.50000000000006
16:21:26,5.2926,5.2912,0.0014,1.40000000000029
16:21:28,5.2934,5.292,0.0014,1.40000000000029
16:21:30,5.2935,5.2921,0.0014,1.40000000000029
16:21:33,5.2941,5.2926,0.0015,1.50000000000006
16:21:35,5.2945,5.293,0.0015,1.50000000000006
16:21:37,5.2951,5.2936,0.0015,1.50000000000006
16:21:40,5.2961,5.2948,0.0013,1.29999999999963
16:21:42,5.2978,5.2964,0.001399999999999,1.3999999999994
16:21:44,5.2998,5.2984,0.0014,1.40000000000029
16:21:47,5.3014,5.2998,0.0016,1.59999999999982
16:21:49,5.3029,5.3015,0.0014,1.40000000000029
16:21:51,5.3038,5.3025,0.0013,1.29999999999963
16:21:54,5.3045,5.3029,0.0016,1.59999999999982
16:21:56,5.3058,5.3046,0.0012,1.19999999999987
16:21:58,5.308,5.3065,0.0015,1.50000000000006
16:22:00,5.3089,5.3074,0.0015,1.50000000000006
16:22:03,5.3093,5.3079,0.0014,1.40000000000029
16:22:05,5.3113,5.3102,0.0011,1.1000000000001
16:22:07,5.3112,5.3095,0.0017,1.70000000000048
16:22:09,5.3127,5.3112,0.0015,1.50000000000006
16:22:12,5.3124,5.311,0.0014,1.40000000000029
16:22:14,5.312,5.3105,0.0015,1.50000000000006
16:22:16,5.248,5.2469,0.0011,1.1000000000001
16:22:19,5.2502,5.2485,0.0017,1.70000000000048
16:22:21,5.2509,5.2497,0.0012,1.19999999999987
16:22:23,5.2497,5.2484,0.0013,1.29999999999963
16:22:25,5.2496,5.2484,0.0012,1.19999999999987
16:22:28,5.2511,5.2498,0.0013,1.29999999999963
16:22:30,5.2516,5.2505,0.0011,1.1000000000001
16:22:32,5.2511,5.25,0.0011,1.1000000000001
16:22:35,5.2522,5.2509,0.001300000000001,1.30000000000052
16:22:37,5.2536,5.2526,0.000999999999999,0.999999999999446
16:22:39,5.2552,5.2542,0.001,1.00000000000033
16:22:41,5.2553,5.2542,0.0011,1.1000000000001
16:22:44,5.2555,5.2543,0.0012,1.19999999999987
