// Created:   16:58:23 05-10-21,,,,
,,,,
,## 05-10-21_04PM_IDCABOT_P3.csv ##,,,
,,,,
,,CCC Pos #3,,
,,,,
,COOLER_DRV,IDCABOT,,
, RMS_VAC,RMS_VAC,Error V,Error mV
16:58:23,5.2067,5.2068,-0.000100000000001,-0.10
16:58:25,5.2137,5.2131,0.0006,0.60
16:58:27,5.2198,5.2197,0.000100000000001,0.10
16:58:30,5.2235,5.2229,0.000599999999999,0.60
16:58:32,5.227,5.2264,0.0006,0.60
16:58:34,5.2314,5.2308,0.000599999999999,0.60
16:58:37,5.2356,5.2348,0.0008,0.80
16:58:39,5.2355,5.2349,0.0006,0.60
16:58:41,5.2393,5.2387,0.0006,0.60
16:58:44,5.2418,5.2413,0.0005,0.50
16:58:46,5.2443,5.2312,0.0131,13.10
16:58:49,5.1834,5.1832,0.0002,0.20
16:58:51,5.1846,5.1842,0.0004,0.40
16:58:54,5.1876,5.1871,0.0005,0.50
16:58:57,5.1883,5.1882,9.99999999997669E-05,0.10
16:58:59,5.1908,5.1908,0,0.00
16:59:01,5.1963,5.196,0.0003,0.30
16:59:03,5.1981,5.1976,0.000500000000001,0.50
16:59:06,5.1997,5.1991,0.0006,0.60
16:59:08,5.2006,5.2003,0.000299999999999,0.30
16:59:11,5.2033,5.2029,0.0004,0.40
16:59:13,5.2055,5.2053,0.0002,0.20
16:59:15,5.2065,5.2063,0.0002,0.20
16:59:18,5.2088,5.2086,0.0002,0.20
16:59:20,5.2097,5.2094,0.0003,0.30
16:59:22,5.2126,5.2124,0.0002,0.20
16:59:25,5.2147,5.2143,0.0004,0.40
16:59:27,5.2152,5.2148,0.0004,0.40
16:59:29,5.2174,5.2171,0.000299999999999,0.30
16:59:32,5.2194,5.2193,0.000100000000001,0.10
16:59:34,5.2225,5.2223,0.0002,0.20
16:59:36,5.224,5.2236,0.0004,0.40
16:59:39,5.2272,5.2267,0.0005,0.50
16:59:41,5.2275,5.227,0.0005,0.50
16:59:43,5.2272,5.2267,0.0005,0.50
16:59:46,5.229,5.2284,0.0006,0.60
16:59:48,5.2302,5.2298,0.0004,0.40
16:59:50,5.2327,5.2324,0.0003,0.30
16:59:53,5.2359,5.2355,0.0004,0.40
16:59:55,5.2381,5.2379,0.0002,0.20
16:59:57,5.2389,5.2383,0.0006,0.60
17:00:00,5.2392,5.2388,0.0004,0.40
17:00:02,5.2397,5.2394,0.0003,0.30
17:00:04,5.2399,5.2399,0,0.00
17:00:07,5.2418,5.2414,0.0004,0.40
17:00:09,5.2425,5.2422,0.000299999999999,0.30
17:00:11,5.2449,5.2447,0.0002,0.20
17:00:14,5.2456,5.2451,0.0005,0.50
17:00:16,5.2444,5.2443,9.99999999997669E-05,0.10
17:00:18,5.2488,5.2497,-0.0009,-0.90
17:00:21,5.2524,5.2521,0.000299999999999,0.30
17:00:23,5.2548,5.2545,0.0003,0.30
17:00:25,5.2559,5.2556,0.0003,0.30
17:00:27,5.2568,5.2566,0.0002,0.20
17:00:30,5.2573,5.2569,0.0004,0.40
17:00:32,5.2589,5.2587,0.0002,0.20
17:00:35,5.2598,5.2596,0.0002,0.20
17:00:37,5.2609,5.2605,0.0004,0.40
17:00:39,5.2618,5.2615,0.0003,0.30
17:00:42,5.2627,5.2624,0.000299999999999,0.30
17:00:44,5.265,5.2648,0.0002,0.20
17:00:46,5.2668,5.2665,0.0003,0.30
17:00:48,5.2674,5.2671,0.0003,0.30
17:00:51,5.2678,5.2674,0.0004,0.40
17:00:53,5.2646,5.2644,0.0002,0.20
17:00:58,1.4113,1.2918,0.1195,119.50
17:01:00,0.8315,0.8315,0,0.00
17:01:03,0.831,0.8311,-9.9999999999989E-05,-0.10
17:01:05,0.8405,0.85,-0.0095,-9.50
17:01:07,1.6826,1.7267,-0.0441,-44.10
17:01:10,2.5648,2.6173,-0.0525,-52.50
17:01:12,3.5927,3.3369,0.2558,255.80
17:01:14,3.9418,3.9343,0.0075,7.50
17:01:16,3.8008,3.7309,0.0699,69.90
17:01:19,3.4665,3.4953,-0.0288,-28.80
17:01:21,3.2386,3.2506,-0.012,-12.00
17:01:23,3.1341,3.113,0.0211,21.10
17:01:26,3.1647,3.2062,-0.0415,-41.50
17:01:28,3.3737,3.3848,-0.0111,-11.10
