//Created: ,15:44:10,05-18-21,,
,,,,
,,##,05-18-21_03PM_IDCABOT_P1.csv,##
,,,,
,,CCC Pos #1,,
,,,,
,,COOLER_DRV,IDCABOT,Transfer Func
,,RMS_AAC,RMS_VAC,Volts/Amp
,,,,
15:44:10,,0.609,2.9545,4.8514
15:44:13,,0.6123,2.9694,4.8496
15:44:16,,0.6655,3.2168,4.8337
15:44:19,,0.6572,3.1835,4.8440
15:44:21,,0.6568,3.1832,4.8465
15:44:24,,0.6595,3.1955,4.8453
15:44:27,,0.6604,3.1994,4.8446
15:44:29,,0.662,3.2007,4.8349
15:44:32,,0.6638,3.2097,4.8353
15:44:35,,0.6618,3.2057,4.8439
15:44:38,,0.6634,3.2126,4.8426
15:44:41,,0.6635,3.2109,4.8393
15:44:44,,0.6629,3.21,4.8424
15:44:46,,0.6646,3.2183,4.8425
15:44:49,,0.6668,3.2292,4.8428
15:44:52,,0.7035,3.4077,4.8439
15:44:55,,0.6983,3.3828,4.8443
15:44:58,,0.6972,3.3764,4.8428
15:45:00,,0.6975,3.3769,4.8414
15:45:03,,0.6971,3.3784,4.8464
15:45:06,,0.6991,3.3838,4.8402
15:45:08,,0.7037,3.4108,4.8470
15:45:11,,0.7023,3.4034,4.8461
15:45:14,,0.7034,3.4087,4.8460
15:45:17,,0.7062,3.4193,4.8418
15:45:19,,0.7073,3.4227,4.8391
15:45:22,,0.7143,3.4692,4.8568
15:45:25,,0.7099,3.4356,4.8396
15:45:27,,0.7101,3.4426,4.8480
15:45:30,,0.7447,3.6069,4.8434
15:45:33,,0.742,3.5922,4.8412
15:45:35,,0.7391,3.5788,4.8421
15:45:38,,0.74,3.58,4.8378
15:45:41,,0.7422,3.5962,4.8453
15:45:43,,0.7439,3.6029,4.8433
15:45:46,,0.7446,3.6046,4.8410
15:45:49,,0.7662,3.7094,4.8413
15:45:51,,0.7639,3.6993,4.8426
15:45:54,,0.7639,3.6999,4.8434
15:45:57,,0.7632,3.6941,4.8403
15:46:00,,0.7622,3.6908,4.8423
15:46:02,,0.7653,3.7078,4.8449
15:46:05,,0.7671,3.7125,4.8397
15:46:08,,0.7691,3.724,4.8420
15:46:10,,0.769,3.7214,4.8393
15:46:13,,0.772,3.7347,4.8377
15:46:16,,0.7736,3.744,4.8397
15:46:18,,0.7751,3.7548,4.8443
15:46:21,,0.7771,3.7615,4.8404
15:46:24,,0.7789,3.7683,4.8380
15:46:27,,0.7805,3.7855,4.8501
15:46:30,,0.7799,3.7791,4.8456
15:46:32,,0.7814,3.7857,4.8448
15:46:35,,0.7864,3.8076,4.8418
15:46:38,,0.7861,3.8088,4.8452
15:46:40,,0.7884,3.8128,4.8361
15:46:43,,0.7877,3.8096,4.8364
15:46:46,,0.7898,3.8254,4.8435
15:46:48,,0.7902,3.827,4.8431
15:46:51,,0.7925,3.8422,4.8482
15:46:54,,0.7961,3.8521,4.8387
15:46:56,,0.7957,3.8486,4.8367
15:46:59,,0.7954,3.8529,4.8440
15:47:02,,0.8018,3.8833,4.8432
15:47:05,,0.8022,3.8858,4.8439
15:47:07,,0.803,3.8842,4.8371
15:47:10,,0.8018,3.8833,4.8432
15:47:13,,0.8035,3.8867,4.8372
15:47:15,,0.8057,3.9013,4.8421
15:47:18,,0.8045,3.8941,4.8404
15:47:21,,0.8043,3.8951,4.8428
15:47:23,,0.8083,3.9128,4.8408
15:47:26,,0.8087,3.9161,4.8425
15:47:29,,0.8093,3.9137,4.8359
15:47:31,,0.8088,3.9167,4.8426
15:47:34,,0.8085,3.9092,4.8351
15:47:37,,0.8027,3.886,4.8412
15:47:39,,0.8026,3.8867,4.8426
15:47:42,,0.8097,3.917,4.8376
15:47:45,,0.8146,3.9435,4.8410
15:47:48,,0.8124,3.9299,4.8374
15:47:50,,0.8137,3.9361,4.8373
15:47:53,,0.8147,3.9429,4.8397
15:47:56,,0.8162,3.9493,4.8386
15:47:58,,0.8159,3.9523,4.8441
15:48:01,,0.8177,3.9601,4.8430
15:48:04,,0.8195,3.9676,4.8415
15:48:06,,0.8208,3.9744,4.8421
15:48:09,,0.8198,3.9765,4.8506
15:48:12,,0.8219,3.9782,4.8402
15:48:14,,0.8215,3.9766,4.8407
15:48:17,,0.8215,3.9761,4.8400
15:48:20,,0.822,3.9786,4.8401
15:48:22,,0.8218,3.978,4.8406
15:48:25,,0.8236,3.9863,4.8401
