// Created:   16:05:51 05-18-21,,,,
,,,,
,,## 05-18-21_04PM_IDCABOT_P2.csv ##,,
,,,,
,,CCC Pos #2,,
,,,,
,,,,
,COOLER_DRV,IDCABOT,,Transfer Func
, RMS_AAC,RMS_VAC,,Volts/Amp
16:05:51,0.7409,3.5839,,4.8372
16:05:54,0.7432,3.5976,,4.8407
16:05:56,0.7455,3.6038,,4.8341
16:05:59,0.7619,3.6843,,4.8357
16:06:02,0.7609,3.6814,,4.8382
16:06:04,0.7613,3.6838,,4.8388
16:06:07,0.7618,3.6862,,4.8388
16:06:10,0.7627,3.6862,,4.8331
16:06:12,0.7652,3.6994,,4.8346
16:06:15,0.7671,3.7086,,4.8346
16:06:18,0.7713,3.73,,4.8360
16:06:20,0.773,3.7373,,4.8348
16:06:23,0.7747,3.7439,,4.8327
16:06:26,0.775,3.7461,,4.8337
16:06:29,0.7754,3.7488,,4.8347
16:06:31,0.7779,3.7608,,4.8346
16:06:34,0.7757,3.751,,4.8356
16:06:37,0.7762,3.7531,,4.8352
16:06:39,0.7784,3.7639,,4.8354
16:06:42,0.7764,3.7528,,4.8336
16:06:45,0.7787,3.7628,,4.8322
16:06:47,0.7785,3.7645,,4.8356
16:06:50,0.7808,3.7792,,4.8402
16:06:53,0.786,3.7979,,4.8319
16:06:55,0.7827,3.7842,,4.8348
16:06:58,0.7847,3.7965,,4.8382
16:07:01,0.7859,3.7938,,4.8273
16:07:03,0.7902,3.8153,,4.8283
16:07:06,0.7863,3.8002,,4.8330
16:07:09,0.7879,3.8125,,4.8388
16:07:12,0.7916,3.8303,,4.8387
16:07:14,0.8023,3.8752,,4.8301
16:07:17,0.799,3.8625,,4.8342
16:07:20,0.8005,3.8677,,4.8316
16:07:22,0.7989,3.8596,,4.8311
16:07:25,0.799,3.8644,,4.8365
16:07:28,0.8022,3.8736,,4.8287
16:07:30,0.8016,3.8862,,4.8481
16:07:33,0.8005,3.8701,,4.8346
16:07:36,0.7952,3.8451,,4.8354
16:07:38,0.7954,3.8454,,4.8345
16:07:41,0.7956,3.8411,,4.8279
16:07:44,0.8021,3.8792,,4.8363
16:07:46,0.795,3.844,,4.8352
16:07:49,0.7961,3.851,,4.8373
16:07:52,0.7987,3.8591,,4.8317
16:07:55,0.8106,3.9139,,4.8284
16:07:57,0.8054,3.8936,,4.8344
16:08:00,0.8055,3.8933,,4.8334
16:08:03,0.8056,3.8939,,4.8335
16:08:05,0.8056,3.8922,,4.8314
16:08:08,0.8085,3.9042,,4.8289
16:08:11,0.8087,3.9098,,4.8347
16:08:13,0.81,3.9105,,4.8278
16:08:16,0.8083,3.9071,,4.8337
16:08:19,0.808,3.906,,4.8342
16:08:21,0.8086,3.9082,,4.8333
16:08:24,0.8084,3.9063,,4.8321
16:08:27,0.8098,3.9141,,4.8334
16:08:29,0.81,3.9149,,4.8332
16:08:32,0.8112,3.9226,,4.8356
16:08:35,0.8115,3.9209,,4.8317
16:08:38,0.8112,3.9212,,4.8338
16:08:40,0.811,3.9192,,4.8326
16:08:43,0.8161,3.9423,,4.8307
16:08:46,0.8119,3.9222,,4.8309
16:08:48,0.8216,3.9723,,4.8348
16:08:51,0.8142,3.9357,,4.8338
16:08:54,0.815,3.932,,4.8245
16:08:56,0.8167,3.9434,,4.8285
16:08:59,0.8177,3.9509,,4.8317
16:09:02,0.8171,3.9532,,4.8381
16:09:04,0.8179,3.97,,4.8539
16:09:07,0.8288,4.0071,,4.8348
16:09:10,0.8269,3.9959,,4.8324
16:09:12,0.8253,3.9826,,4.8256
16:09:15,0.8241,3.9733,,4.8214
16:09:18,0.8308,4.0207,,4.8396
16:09:20,0.8309,4.009,,4.8249
16:09:23,0.8248,3.9843,,4.8306
16:09:26,0.8285,4.0001,,4.8281
16:09:29,0.829,3.9999,,4.8250
16:09:31,0.8274,4.0127,,4.8498
16:09:34,0.8271,3.9968,,4.8323
16:09:37,0.8284,4.0033,,4.8326
16:09:39,0.8378,4.0503,,4.8344
16:09:42,0.8349,4.021,,4.8161
16:09:45,0.8295,4.025,,4.8523
16:09:47,0.8321,4.0189,,4.8298
16:09:50,0.8329,4.0252,,4.8328
16:09:53,0.8415,4.0604,,4.8252
16:09:55,0.8373,4.0514,,4.8386
16:09:58,0.8369,4.0423,,4.8301
16:10:01,0.8374,4.0437,,4.8289
16:10:04,0.8305,4.033,,4.8561
16:10:07,0.8349,4.0273,,4.8237
16:10:09,0.8361,4.0317,,4.8220
16:10:12,0.8288,4.0227,,4.8536
16:10:15,0.8379,4.0536,,4.8378
16:10:17,0.8394,4.0577,,4.8340
16:10:20,0.84,4.0642,,4.8383
16:10:23,0.8402,4.0549,,4.8261
16:10:25,0.8493,4.102,,4.8299
16:10:28,0.8427,4.0739,,4.8343
16:10:31,0.8439,4.0796,,4.8342
16:10:34,0.8464,4.0899,,4.8321
,,,,
,,Average,,4.8338
,,StandardDev,,0.0063
