// Created:   16:19:24 05-18-21,,,,
,,,,
,,,,## 05-18-21_04PM_IDCABOT_P3.csv ##
,,,,
,,CCC Pos #3,,
,,,,
,COOLER_DRV,IDCABOT,,Transfer Func
, RMS_AAC,RMS_VAC,,Volts/Amp
16:19:24,0.7754,3.7495,,4.8356
16:19:26,0.7795,3.7674,,4.8331
16:19:29,0.778,3.7624,,4.8360
16:19:32,0.7806,3.7731,,4.8336
16:19:34,0.7804,3.7729,,4.8346
16:19:37,0.7808,3.7766,,4.8368
16:19:40,0.7814,3.7807,,4.8384
16:19:42,0.7822,3.7846,,4.8384
16:19:45,0.7815,3.7785,,4.8349
16:19:48,0.7806,3.7756,,4.8368
16:19:50,0.7823,3.7811,,4.8333
16:19:53,0.7844,3.7934,,4.8361
16:19:56,0.7867,3.8088,,4.8415
16:19:58,0.7855,3.7989,,4.8363
16:20:01,0.7873,3.8064,,4.8348
16:20:04,0.7902,3.826,,4.8418
16:20:07,0.7929,3.8323,,4.8333
16:20:10,0.7931,3.8333,,4.8333
16:20:12,0.7945,3.8418,,4.8355
16:20:15,0.7965,3.854,,4.8387
16:20:18,0.796,3.8495,,4.8361
16:20:20,0.7975,3.8558,,4.8349
16:20:23,0.7999,3.8716,,4.8401
16:20:26,0.8007,3.8665,,4.8289
16:20:28,0.8023,3.8702,,4.8239
16:20:31,0.8047,3.8837,,4.8263
16:20:34,0.8021,3.881,,4.8385
16:20:37,0.8003,3.8687,,4.8341
16:20:39,0.7988,3.8631,,4.8361
16:20:42,0.7991,3.8637,,4.8351
16:20:45,0.7994,3.8653,,4.8353
16:20:47,0.8006,3.8757,,4.8410
16:20:50,0.8031,3.8808,,4.8323
16:20:53,0.7998,3.8611,,4.8276
16:20:55,0.8001,3.868,,4.8344
16:20:58,0.7989,3.8611,,4.8330
16:21:01,0.8011,3.8718,,4.8331
16:21:03,0.8029,3.8809,,4.8336
16:21:06,0.8021,3.8905,,4.8504
16:21:09,0.8061,3.8973,,4.8348
16:21:11,0.8062,3.8974,,4.8343
16:21:14,0.8045,3.8923,,4.8382
16:21:17,0.8054,3.8951,,4.8362
16:21:19,0.8087,3.9119,,4.8373
16:21:22,0.8085,3.9082,,4.8339
16:21:25,0.8069,3.904,,4.8383
16:21:28,0.8051,3.8969,,4.8403
16:21:30,0.81,3.9195,,4.8389
16:21:33,0.8078,3.9075,,4.8372
16:21:36,0.8177,3.9519,,4.8329
16:21:38,0.8148,3.9331,,4.8271
16:21:41,0.81,3.9173,,4.8362
16:21:44,0.8097,3.9173,,4.8380
16:21:46,0.8114,3.9229,,4.8347
16:21:49,0.8117,3.9264,,4.8373
16:21:52,0.8124,3.9264,,4.8331
16:21:54,0.8162,3.9458,,4.8344
16:21:57,0.8151,3.9463,,4.8415
16:22:00,0.8145,3.9436,,4.8417
16:22:02,0.8172,3.9541,,4.8386
16:22:05,0.8199,3.961,,4.8311
16:22:08,0.8207,3.9888,,4.8602
16:22:10,0.8208,3.9705,,4.8374
16:22:13,0.8236,3.9785,,4.8306
16:22:16,0.8269,3.9999,,4.8372
16:22:19,0.8318,4.0154,,4.8274
16:22:21,0.8328,4.0244,,4.8324
16:22:24,0.8354,4.0287,,4.8225
16:22:27,0.8283,4.0147,,4.8469
16:22:29,0.833,4.0286,,4.8363
16:22:32,0.8307,4.0159,,4.8344
16:22:35,0.8309,4.0213,,4.8397
16:22:37,0.8299,4.0184,,4.8420
16:22:40,0.8268,4.001,,4.8391
16:22:43,0.8295,4.0084,,4.8323
16:22:45,0.8301,4.0143,,4.8359
16:22:48,0.8313,4.0241,,4.8407
16:22:51,0.8331,4.0307,,4.8382
16:22:53,0.8321,4.0243,,4.8363
16:22:56,0.8327,4.0276,,4.8368
16:22:59,0.8341,4.0343,,4.8367
16:23:01,0.8326,4.0244,,4.8335
16:23:04,0.835,4.0337,,4.8308
16:23:07,0.8353,4.038,,4.8342
16:23:09,0.8368,4.0477,,4.8371
16:23:12,0.8376,4.0515,,4.8370
16:23:15,0.8379,4.059,,4.8443
16:23:18,0.8338,4.0344,,4.8386
16:23:20,0.8387,4.0553,,4.8352
16:23:23,0.8393,4.0554,,4.8319
16:23:26,0.841,4.0634,,4.8316
16:23:28,0.839,4.0648,,4.8448
,,,,
,,Average,,4.8360
,,StandardDev,,0.0051
