// Created:   16:35:28 05-18-21,,,
,,,
,## 05-18-21_04PM_IDCABOT_P4.csv ##,,
,,,
,CCC Pos #4,,
,,,
,,,
,COOLER_DRV,IDCABOT,Transfer Func
, RMS_AAC,RMS_VAC,Volts/Amp
16:35:28,0.7399,3.5772,4.8347
16:35:30,0.7426,3.5928,4.8381
16:35:33,0.7452,3.6048,4.8374
16:35:36,0.7465,3.6103,4.8363
16:35:38,0.7477,3.6154,4.8354
16:35:41,0.7506,3.6309,4.8373
16:35:44,0.7685,3.7139,4.8327
16:35:46,0.7669,3.708,4.8351
16:35:49,0.7669,3.7084,4.8356
16:35:52,0.7692,3.7183,4.8340
16:35:55,0.7699,3.7205,4.8324
16:35:57,0.7705,3.7277,4.8380
16:36:00,0.7703,3.7257,4.8367
16:36:03,0.7728,3.7359,4.8342
16:36:05,0.7717,3.7288,4.8319
16:36:08,0.7718,3.7329,4.8366
16:36:11,0.7736,3.7417,4.8367
16:36:13,0.7735,3.7423,4.8381
16:36:16,0.7749,3.7459,4.8340
16:36:19,0.7754,3.7507,4.8371
16:36:22,0.7777,3.7599,4.8346
16:36:24,0.7761,3.7537,4.8366
16:36:27,0.7765,3.7525,4.8326
16:36:30,0.7767,3.7564,4.8364
16:36:32,0.7774,3.7587,4.8350
16:36:35,0.7788,3.7653,4.8347
16:36:38,0.7795,3.7678,4.8336
16:36:40,0.7804,3.7765,4.8392
16:36:43,0.7847,3.7939,4.8348
16:36:46,0.7832,3.791,4.8404
16:36:49,0.7862,3.7985,4.8315
16:36:51,0.7883,3.8063,4.8285
16:36:54,0.788,3.8067,4.8308
16:36:57,0.7887,3.8121,4.8334
16:36:59,0.7862,3.7991,4.8322
16:37:02,0.7884,3.8109,4.8337
16:37:05,0.7888,3.8115,4.8320
16:37:07,0.7902,3.8196,4.8337
16:37:10,0.7922,3.8247,4.8279
16:37:13,0.795,3.8385,4.8283
16:37:15,0.7901,3.8182,4.8326
16:37:18,0.7952,3.8579,4.8515
16:37:21,0.7971,3.849,4.8288
16:37:24,0.7958,3.8495,4.8373
16:37:26,0.7954,3.8467,4.8362
16:37:29,0.7941,3.8382,4.8334
16:37:32,0.7951,3.8478,4.8394
16:37:34,0.7951,3.8448,4.8356
16:37:37,0.7978,3.8567,4.8342
16:37:40,0.799,3.8595,4.8304
16:37:42,0.7961,3.8532,4.8401
16:37:45,0.7971,3.8523,4.8329
16:37:48,0.7965,3.8464,4.8291
16:37:51,0.7926,3.8311,4.8336
16:37:53,0.7943,3.8395,4.8338
16:37:56,0.8069,3.8946,4.8266
16:37:59,0.806,3.8953,4.8329
16:38:01,0.8004,3.867,4.8313
16:38:04,0.7997,3.8663,4.8347
16:38:07,0.8007,3.871,4.8345
16:38:09,0.8005,3.8702,4.8347
16:38:12,0.7988,3.868,4.8423
16:38:15,0.7988,3.863,4.8360
16:38:18,0.8059,3.9026,4.8425
16:38:20,0.8075,3.903,4.8334
16:38:23,0.8026,3.8798,4.8340
16:38:26,0.8039,3.8837,4.8311
16:38:28,0.8034,3.8891,4.8408
16:38:31,0.8069,3.8988,4.8318
16:38:34,0.8066,3.8952,4.8292
16:38:36,0.8097,3.9118,4.8312
16:38:39,0.8118,3.9204,4.8293
16:38:42,0.8086,3.9091,4.8344
16:38:44,0.8227,3.9825,4.8408
16:38:47,0.8144,3.9435,4.8422
16:38:50,0.8144,3.9381,4.8356
16:38:53,0.8147,3.9376,4.8332
16:38:55,0.8243,3.9968,4.8487
16:38:58,0.8186,3.9549,4.8313
16:39:01,0.8185,3.9547,4.8316
16:39:03,0.8242,3.9829,4.8324
16:39:06,0.8204,3.9726,4.8423
16:39:09,0.8192,3.9651,4.8402
16:39:11,0.8204,3.9585,4.8251
16:39:14,0.8216,3.97,4.8320
16:39:17,0.8226,3.9724,4.8291
16:39:20,0.8209,3.9688,4.8347
16:39:22,0.8213,3.9812,4.8474
16:39:25,0.8203,3.9588,4.8260
16:39:28,0.824,3.98,4.8301
16:39:30,0.8218,3.9805,4.8436
16:39:33,0.8255,3.99,4.8334
16:39:36,0.8266,3.9946,4.8326
16:39:38,0.8261,3.9935,4.8342
16:39:41,0.8262,3.997,4.8378
16:39:44,0.8279,4.0007,4.8323
16:39:46,0.8274,3.9942,4.8274
16:39:49,0.8203,3.9852,4.8582
16:39:52,0.8334,4.0337,4.8401
16:39:54,0.8334,4.0249,4.8295
16:39:57,0.8326,4.0312,4.8417
16:40:00,0.8329,4.0244,4.8318
16:40:03,0.8333,4.0266,4.8321
16:40:06,0.8324,4.03,4.8414
16:40:08,0.8355,4.0399,4.8353
16:40:11,0.8346,4.0217,4.8187
16:40:14,0.833,4.0221,4.8285
16:40:16,0.837,4.0468,4.8349
16:40:19,0.8376,4.0507,4.8361
16:40:22,0.838,4.0437,4.8254
,,,
,,Average,4.8347
,,StdDev,0.0054
