// Created:   17:13:51 05-18-21,,,
,,,
,,## 05-18-21_05PM_IDCABOT_P3.csv ##,
,,,
,,CCC Pos #3,
,,,
,COOLER_DRV,IDCABOT,Error
,,,
, RMS_VAC,RMS_VAC,Volts
17:13:51,4.9782,4.9761,0.0021
17:13:53,5.0867,5.0845,0.0022
17:13:56,5.092,5.0898,0.002199999999999
17:13:58,5.0988,5.0962,0.0026
17:14:00,5.1029,5.1007,0.0022
17:14:03,5.1065,5.1037,0.0028
17:14:05,5.1089,5.1063,0.0026
17:14:07,5.1125,5.1101,0.0024
17:14:10,5.1161,5.1138,0.0023
17:14:12,5.1798,5.1776,0.0022
17:14:14,5.1844,5.1814,0.003
17:14:17,5.1891,5.1864,0.0027
17:14:19,5.1932,5.1903,0.0029
17:14:21,5.196,5.1931,0.002899999999999
17:14:24,5.1951,5.1924,0.0027
17:14:26,5.1978,5.1948,0.003
17:14:28,5.1995,5.1969,0.0026
17:14:31,5.2032,5.2006,0.0026
17:14:33,5.2057,5.2026,0.0031
17:14:35,5.2086,5.2059,0.0027
17:14:38,5.2109,5.2082,0.0027
17:14:40,5.2139,5.2112,0.0027
17:14:42,5.2167,5.2138,0.0029
17:14:45,5.2185,5.2157,0.0028
17:14:47,5.2199,5.2171,0.0028
17:14:49,5.2221,5.2194,0.0027
17:14:52,5.2239,5.2211,0.002800000000001
17:14:54,5.226,5.2235,0.0025
17:14:56,5.2288,5.2257,0.0031
17:14:59,5.2322,5.2293,0.002899999999999
17:15:01,5.2348,5.2322,0.0026
17:15:03,5.235,5.2321,0.0029
17:15:06,5.2384,5.2357,0.002700000000001
17:15:08,5.2389,5.2359,0.003
17:15:10,5.24,5.2375,0.0025
17:15:13,5.2409,5.238,0.002899999999999
17:15:15,5.2433,5.2403,0.002999999999999
17:15:17,5.2445,5.2418,0.002700000000001
17:15:20,5.2478,5.2449,0.002899999999999
17:15:22,5.2509,5.2476,0.003299999999999
17:15:24,5.1865,5.1837,0.0028
17:15:27,5.1876,5.185,0.0026
17:15:29,5.1906,5.1879,0.0027
17:15:31,5.1916,5.1887,0.0029
17:15:34,5.1921,5.1892,0.0029
17:15:36,5.1937,5.1912,0.0025
17:15:38,5.1965,5.1938,0.0027
17:15:41,5.1977,5.1948,0.0029
17:15:43,5.1998,5.1971,0.0027
17:15:45,5.2017,5.199,0.0027
17:15:48,5.2036,5.2007,0.002899999999999
17:15:50,5.2054,5.2024,0.003
17:15:52,5.2054,5.2024,0.003
17:15:55,5.2084,5.2057,0.0027
17:15:57,5.2107,5.2081,0.0026
17:15:59,5.2121,5.2093,0.002800000000001
17:16:02,5.2133,5.2107,0.0026
17:16:04,5.2141,5.211,0.0031
17:16:06,5.2162,5.2134,0.0028
17:16:09,5.2174,5.2146,0.0028
17:16:11,5.217,5.2142,0.0028
17:16:13,5.2188,5.2158,0.003
17:16:16,5.2206,5.218,0.0026
17:16:18,5.2231,5.2204,0.0027
17:16:20,5.2241,5.2214,0.0027
17:16:23,5.225,5.2223,0.0027
17:16:25,5.2254,5.2226,0.0028
17:16:27,5.2275,5.2249,0.0026
17:16:30,5.2283,5.2257,0.0026
17:16:32,5.2283,5.2259,0.0024
17:16:34,5.2281,5.2253,0.002800000000001
17:16:37,5.2283,5.2255,0.0028
17:16:39,5.2301,5.2278,0.0023
17:16:41,5.2325,5.2296,0.0029
17:16:44,5.2344,5.2317,0.0027
17:16:46,5.2363,5.2336,0.0027
17:16:48,5.2372,5.2343,0.002899999999999
17:16:51,5.2372,5.2352,0.002
17:16:53,5.2365,5.2338,0.0027
17:16:55,5.2381,5.2352,0.0029
17:16:58,5.2389,5.2365,0.0024
17:17:00,5.2408,5.2381,0.0027
17:17:02,5.2403,5.2378,0.0025
17:17:05,5.2413,5.2389,0.0024
17:17:07,5.2421,5.2398,0.0023
17:17:09,5.2428,5.2404,0.0024
17:17:12,5.2429,5.2401,0.0028
17:17:14,5.2448,5.2424,0.0024
17:17:16,5.2458,5.2429,0.0029
17:17:19,5.2452,5.2429,0.0023
17:17:21,5.2457,5.2433,0.002400000000001
17:17:23,5.2476,5.2449,0.0027
17:17:26,5.2472,5.2445,0.0027
17:17:28,5.2477,5.2452,0.0025
17:17:30,5.25,5.2473,0.0027
17:17:33,5.2517,5.2489,0.0028
17:17:35,5.2498,5.2471,0.002700000000001
17:17:37,5.2515,5.249,0.0025
17:17:40,5.2509,5.2482,0.0027
17:17:42,5.2512,5.2486,0.0026
,,,
,,Average,0.002689
,,Min,0.002
,,Max,0.003299999999999
