// Created:   13:05:14 05-20-21,,,
,,,
,,,
,,,
,## 05-20-21_01PM_IDCABOT_P2.csv ##,,
,CCC Pos #2,,
,,,
,COOLER_DRV,IDCABOT,TRANSFER FUNC
, RMS_AAC,RMS_VAC,VOLTS/AMP
13:05:14,0.7288,3.5197,4.8294
13:05:17,0.7319,3.5376,4.8334
13:05:20,0.7491,3.6134,4.8237
13:05:24,0.7477,3.6154,4.8354
13:05:27,0.7503,3.6278,4.8351
13:05:30,0.7507,3.628,4.8328
13:05:33,0.7504,3.6282,4.835
13:05:36,0.7537,3.6371,4.8257
13:05:39,0.7554,3.6445,4.8246
13:05:42,0.7526,3.643,4.8406
13:05:45,0.753,3.6368,4.8297
13:05:49,0.7536,3.6407,4.8311
13:05:52,0.754,3.6398,4.8273
13:05:55,0.7569,3.6518,4.8247
13:05:58,0.7561,3.656,4.8353
13:06:01,0.7564,3.6541,4.8309
13:06:04,0.7602,3.6713,4.8294
13:06:07,0.761,3.6833,4.8401
13:06:11,0.7632,3.6854,4.8289
13:06:14,0.7638,3.7002,4.8445
13:06:17,0.7661,3.6997,4.8293
13:06:20,0.7682,3.7068,4.8253
13:06:23,0.7658,3.6985,4.8296
13:06:26,0.7669,3.7056,4.8319
13:06:29,0.7676,3.7065,4.8287
13:06:32,0.7702,3.7193,4.829
13:06:36,0.7687,3.7213,4.841
13:06:39,0.7772,3.744,4.8173
13:06:42,0.7677,3.7064,4.8279
13:06:45,0.7754,3.7481,4.8338
13:06:48,0.7815,3.7673,4.8206
13:06:51,0.779,3.7594,4.8259
13:06:54,0.7823,3.783,4.8357
13:06:57,0.791,3.8099,4.8166
13:07:01,0.7791,3.7609,4.8272
13:07:04,0.7756,3.7454,4.829
13:07:07,0.7691,3.7118,4.8262
13:07:10,0.768,3.7124,4.8339
13:07:13,0.7709,3.7206,4.8263
13:07:16,0.7707,3.7335,4.8443
13:07:19,0.7727,3.725,4.8208
13:07:23,0.7812,3.783,4.8425
13:07:26,0.7765,3.7601,4.8424
13:07:29,0.7798,3.7612,4.8233
13:07:32,0.7851,3.7996,4.8396
13:07:35,0.7844,3.7901,4.8318
13:07:38,0.7849,3.8089,4.8527
13:07:41,0.7889,3.7921,4.8068
13:07:44,0.791,3.7951,4.7979
13:07:47,0.804,3.8897,4.8379
13:07:51,0.8018,3.8599,4.814
13:07:54,0.7954,3.8412,4.8293
13:07:57,0.7915,3.8237,4.831
13:08:00,0.7926,3.8256,4.8266
13:08:03,0.792,3.8238,4.828
13:08:06,0.8,3.8689,4.8361
13:08:09,0.7987,3.8582,4.8306
13:08:12,0.7984,3.8615,4.8365
13:08:16,0.7993,3.8608,4.8302
13:08:19,0.7986,3.855,4.8272
13:08:22,0.795,3.8331,4.8215
13:08:25,0.7957,3.838,4.8234
13:08:28,0.798,3.8534,4.8288
13:08:34,0.7956,3.8515,4.841
13:08:37,0.7993,3.8629,4.8329
13:08:41,0.7981,3.8557,4.8311
13:08:44,0.799,3.8689,4.8422
13:08:47,0.8033,3.8785,4.8282
13:08:50,0.8019,3.8685,4.8242
13:08:53,0.804,3.888,4.8358
13:08:56,0.8012,3.8729,4.8339
13:08:59,0.8062,3.9068,4.8459
13:09:02,0.8056,3.8905,4.8293
13:09:06,0.8069,3.9029,4.8369
13:09:09,0.8089,3.9047,4.8272
13:09:12,0.812,3.9171,4.824
13:09:18,0.8178,3.937,4.8141
13:09:27,0.8081,3.8885,4.8119
13:09:31,0.814,3.9267,4.824
13:09:34,0.8167,3.9254,4.8064
13:09:37,0.8164,3.9501,4.8384
13:09:43,0.8219,3.972,4.8327
13:09:46,0.8254,3.9785,4.8201
13:09:49,0.8259,3.9778,4.8163
13:09:52,0.8241,3.9659,4.8124
13:09:56,0.8241,3.9856,4.8363
13:09:59,0.8176,3.9317,4.8088
13:10:02,0.8232,3.9559,4.8055
13:10:05,0.8298,3.9993,4.8196
,,,
,,Average,4.8287
,,StdDev,0.0097
