// Created:   12:49:08 05-20-21,,,
,,,
,,,
,,## 05-20-21_12PM_IDCABOT_P4.csv ##,
,,CCC Pos #4,
,,,
,,,
,COOLER_DRV,IDCABOT,TRANSFER FUNC
, RMS_AAC,RMS_VAC,VOLTS/AMP
12:49:08,0.7483,3.6114,4.8261
12:49:11,0.7501,3.6238,4.8311
12:49:14,0.7494,3.6308,4.8449
12:49:17,0.751,3.6248,4.8266
12:49:21,0.7536,3.6381,4.8276
12:49:24,0.752,3.6274,4.8237
12:49:27,0.7506,3.6266,4.8316
12:49:30,0.7516,3.6328,4.8334
12:49:33,0.7555,3.652,4.8339
12:49:36,0.7569,3.6565,4.8309
12:49:39,0.7569,3.6571,4.8317
12:49:42,0.7615,3.6756,4.8268
12:49:45,0.7624,3.6784,4.8248
12:49:49,0.7585,3.6632,4.8295
12:49:52,0.7617,3.6796,4.8308
12:49:55,0.7643,3.6967,4.8367
12:49:58,0.7729,3.7237,4.8178
12:50:01,0.7713,3.7347,4.8421
12:50:05,0.7725,3.7229,4.8193
12:50:08,0.7709,3.7355,4.8456
12:50:11,0.7777,3.758,4.8322
12:50:14,0.7785,3.771,4.8439
12:50:17,0.7813,3.777,4.8343
12:50:20,0.7821,3.7764,4.8285
12:50:24,0.7808,3.7683,4.8262
12:50:27,0.7762,3.75,4.8312
12:50:30,0.7808,3.7698,4.8281
12:50:33,0.7679,3.7059,4.8260
12:50:36,0.7665,3.7064,4.8355
12:50:39,0.766,3.6994,4.8295
12:50:42,0.7689,3.7101,4.8252
12:50:45,0.7669,3.7023,4.8276
12:50:48,0.7653,3.6968,4.8305
12:50:52,0.7685,3.7118,4.8299
12:50:55,0.7687,3.7133,4.8306
12:50:58,0.7716,3.7244,4.8269
12:51:01,0.7713,3.7313,4.8377
12:51:04,0.7722,3.7385,4.8414
12:51:07,0.772,3.7328,4.8352
12:51:10,0.7845,3.7777,4.8154
12:51:13,0.775,3.7383,4.8236
12:51:17,0.7739,3.7445,4.8385
12:51:20,0.7767,3.7486,4.8263
12:51:23,0.7771,3.7498,4.8254
12:51:26,0.7756,3.7502,4.8352
12:51:29,0.7781,3.7603,4.8327
12:51:32,0.7802,3.768,4.8295
12:51:35,0.7794,3.7707,4.8380
12:51:38,0.7821,3.7783,4.8310
12:51:42,0.7833,3.7826,4.8291
12:51:45,0.7826,3.7838,4.8349
12:51:48,0.7835,3.7871,4.8336
12:51:51,0.7871,3.8,4.8278
12:51:54,0.7878,3.7994,4.8228
12:51:57,0.7881,3.8036,4.8263
12:52:00,0.7951,3.8427,4.8330
12:52:04,0.7973,3.8559,4.8362
12:52:07,0.7964,3.8528,4.8378
12:52:10,0.798,3.85,4.8246
12:52:13,0.7973,3.8567,4.8372
12:52:16,0.7987,3.8543,4.8257
12:52:19,0.7992,3.8658,4.8371
12:52:22,0.8001,3.8638,4.8291
12:52:25,0.8009,3.8701,4.8322
12:52:28,0.8006,3.8737,4.8385
12:52:32,0.8015,3.8672,4.8250
12:52:35,0.8009,3.8664,4.8276
12:52:38,0.8071,3.8948,4.8257
12:52:41,0.8079,3.9065,4.8354
12:52:44,0.8148,3.9229,4.8146
12:52:47,0.8126,3.9284,4.8344
12:52:50,0.813,3.9228,4.8251
12:52:53,0.818,3.9593,4.8402
12:52:57,0.8189,3.9589,4.8344
12:53:00,0.8213,3.9545,4.8149
12:53:03,0.8219,3.9782,4.8402
12:53:06,0.8233,3.9686,4.8204
12:53:09,0.8224,3.9709,4.8284
12:53:12,0.8156,3.9396,4.8303
12:53:15,0.8173,3.9466,4.8288
12:53:18,0.8226,3.9738,4.8308
12:53:21,0.8203,3.9695,4.8391
12:53:25,0.8304,4.0832,4.9171
12:53:28,0.8348,4.0362,4.8349
12:53:31,0.8341,4.0161,4.8149
12:53:34,0.8312,4.0099,4.8242
12:53:37,0.8296,4.0017,4.8236
12:53:40,0.8258,3.9897,4.8313
12:53:43,0.8269,3.9867,4.8213
12:53:46,0.8274,3.9969,4.8307
12:53:50,0.8278,3.9988,4.8306
12:53:53,0.8278,4.0084,4.8422
12:53:56,0.8292,4.0004,4.8244
,,,
,,Average,4.8313
,,StdDev,0.0112
