// Created:   16:31:15 05-19-21,,,,
,,,,
,## 05-19-21_04PM_IDCABOT_P1.csv ##,,,
,,,,
,CCC Pos #1,,,
,,,,
,COOLER_DRV,IDCABOT,Error,
,,,,
, RMS_VAC,RMS_VAC,Volts,
16:31:15,4.4086,4.4065,0.0021,
16:31:18,4.4128,4.4114,0.0014,
16:31:20,4.416,4.4139,0.0021,
16:31:22,4.4193,4.4174,0.0019,
16:31:25,4.4206,4.4185,0.0021,
16:31:27,4.4241,4.4229,0.0012,
16:31:29,4.4273,4.4258,0.0015,
16:31:32,4.4325,4.4308,0.0017,
16:31:34,4.4357,4.4337,0.002,
16:31:36,4.438,4.4361,0.0019,
16:31:39,4.4392,4.4377,0.0015,
16:31:41,4.444,4.4422,0.0018,
16:31:43,4.445,4.4433,0.0017,
16:31:46,4.5938,4.5926,0.0012,
16:31:48,4.6014,4.5996,0.0018,
16:31:50,4.6053,4.6035,0.0018,
16:31:53,4.6079,4.6067,0.0012,
16:31:55,4.609,4.6069,0.0021,
16:31:57,4.6123,4.6108,0.0015,
16:31:59,4.7851,4.7839,0.0012,
16:32:02,4.7868,4.786,0.0008,
16:32:04,4.7913,4.7904,0.0009,
16:32:06,4.7938,4.7923,0.0015,
16:32:09,4.7986,4.7972,0.0014,
16:32:11,4.8045,4.803,0.0015,
16:32:14,4.8057,4.8042,0.0015,
16:32:16,4.808,4.8066,0.0014,
16:32:19,4.8095,4.8076,0.0019,
16:32:21,4.8135,4.8122,0.0013,
16:32:24,4.8172,4.8163,0.0009,
16:32:26,5.0279,5.0275,0.0004,
16:32:28,5.0328,5.0324,0.0004,
16:32:31,5.0383,5.0373,0.001,
16:32:33,5.0423,5.0412,0.0011,
16:32:35,5.0437,5.0427,0.001,
16:32:38,5.0473,5.0462,0.0011,
16:32:40,5.0514,5.0504,0.001,
16:32:42,5.0536,5.0526,0.001,
16:32:45,5.0565,5.0554,0.0011,
16:32:47,5.0587,5.0572,0.0015,
16:32:49,5.0593,5.0582,0.0011,
16:32:54,5.1738,5.1727,0.0011,
16:32:57,5.178,5.1766,0.0014,
16:32:59,5.1799,5.1782,0.0017,
16:33:02,5.182,5.1807,0.0013,
16:33:04,5.1873,5.1859,0.0014,
16:33:06,5.1898,5.1884,0.0014,
16:33:09,5.1912,5.1903,0.0009,
16:33:11,5.1951,5.1935,0.0016,
16:33:13,5.1962,5.1947,0.0015,
16:33:23,5.3102,5.3084,0.0018,
16:33:25,5.3136,5.3119,0.0017,
16:33:27,5.3148,5.3135,0.0013,
16:33:32,5.3239,5.3203,0.0036,
16:33:37,5.3876,5.3863,0.0013,
16:33:39,5.3917,5.3904,0.0013,
16:33:41,5.3914,5.3902,0.0012,
16:33:44,5.3952,5.3938,0.0014,
16:33:46,5.3964,5.3952,0.0012,
16:33:48,5.3986,5.3972,0.0014,
16:33:51,5.4006,5.3993,0.0013,
16:33:53,5.4019,5.4004,0.0015,
16:33:55,5.4046,5.403,0.0016,
16:33:57,5.4066,5.4055,0.0011,
16:34:00,5.4087,5.4074,0.0013,
16:34:02,5.4106,5.4093,0.0013,
16:34:04,5.4111,5.4094,0.0017,
16:34:07,5.4133,5.4117,0.0016,
16:34:09,5.4152,5.4139,0.0013,
16:34:11,5.4177,5.4164,0.0013,
16:34:14,5.4187,5.4174,0.0013,
16:34:16,5.4202,5.4186,0.0016,
16:34:18,5.4205,5.4193,0.0012,
16:34:21,5.421,5.4198,0.0012,
16:34:23,5.4245,5.4234,0.0011,
16:34:25,5.4261,5.4249,0.0012,
16:34:28,5.4282,5.4276,0.0006,
16:34:30,5.4313,5.4303,0.001,
16:34:32,5.4319,5.4309,0.001,
16:34:35,5.4346,5.4334,0.0012,
16:34:37,5.4169,5.4132,0.0037,
16:34:39,5.4122,5.4071,0.0051,
16:34:42,5.4186,5.4175,0.0011,
16:34:46,5.3746,5.3734,0.0012,
16:34:49,5.3759,5.3747,0.0012,
16:34:51,5.3754,5.3746,0.0008,
16:34:53,5.3789,5.3776,0.0013,
16:34:56,5.3788,5.3781,0.0007,
16:34:58,5.3796,5.3787,0.0009,
16:35:00,5.3822,5.3814,0.0008,
16:35:03,5.383,5.382,0.001,
16:35:05,5.3849,5.3838,0.0011,
16:35:07,5.3863,5.3854,0.0009,
16:35:10,5.3884,5.3875,0.0009,
16:35:12,5.3895,5.3887,0.0008,
16:35:14,5.3915,5.3906,0.0009,
