// Created:   16:58:17 05-19-21,,,,
,,,,
,,## 05-19-21_04PM_IDCABOT_P2.csv ##,,
,,,,
,,CCC Pos #2,,
,,,,
,COOLER_DRV,IDCABOT,Error,
,RMS_VAC,RMS_VAC,Volts,
16:58:17,4.71,4.7082,0.0018,
16:58:20,4.7142,4.7126,0.0016,
16:58:22,4.9292,4.9284,0.0008,
16:58:24,4.9322,4.9312,0.0010,
16:58:26,4.9376,4.9373,0.0003,
16:58:29,4.9422,4.9416,0.0006,
16:58:31,4.9463,4.9454,0.0009,
16:58:33,4.9492,4.9485,0.0007,
16:58:36,4.95,4.9492,0.0008,
16:58:38,4.9531,4.9524,0.0007,
16:58:40,4.9568,4.956,0.0008,
16:58:43,4.961,4.9598,0.0012,
16:58:45,4.9629,4.9624,0.0005,
16:58:47,4.9641,4.9631,0.0010,
16:58:50,5.0686,5.0677,0.0009,
16:58:52,5.0729,5.0716,0.0013,
16:58:54,5.0759,5.0749,0.0010,
16:58:57,5.0796,5.0786,0.0010,
16:58:59,5.082,5.0809,0.0011,
16:59:02,5.0851,5.0841,0.0010,
16:59:04,5.0878,5.0864,0.0014,
16:59:06,5.0877,5.0864,0.0013,
16:59:09,5.0906,5.0892,0.0014,
16:59:11,5.0921,5.0913,0.0008,
16:59:13,5.0963,5.0947,0.0016,
16:59:16,5.0976,5.0959,0.0017,
16:59:18,5.0995,5.0988,0.0007,
16:59:20,5.2044,5.203,0.0014,
16:59:22,5.2084,5.2068,0.0016,
16:59:25,5.2113,5.2098,0.0015,
16:59:27,5.2121,5.2104,0.0017,
16:59:29,5.2147,5.213,0.0017,
16:59:32,5.2163,5.2147,0.0016,
16:59:34,5.2789,5.2785,0.0004,
16:59:36,5.2844,5.2831,0.0013,
16:59:39,5.2875,5.2859,0.0016,
16:59:41,5.289,5.2877,0.0013,
16:59:43,5.2909,5.2893,0.0016,
16:59:46,5.2917,5.2901,0.0016,
16:59:48,5.2938,5.2924,0.0014,
16:59:50,5.2963,5.2951,0.0012,
16:59:53,5.2966,5.2953,0.0013,
16:59:55,5.2992,5.2979,0.0013,
16:59:57,5.3019,5.3002,0.0017,
17:00:00,5.3023,5.3007,0.0016,
17:00:02,5.3038,5.3026,0.0012,
17:00:05,5.3051,5.3036,0.0015,
17:00:07,5.3076,5.3062,0.0014,
17:00:10,5.3092,5.3076,0.0016,
17:00:12,5.3081,5.3068,0.0013,
17:00:14,5.31,5.3087,0.0013,
17:00:17,5.3125,5.3114,0.0011,
17:00:19,5.314,5.3127,0.0013,
17:00:21,5.3172,5.3159,0.0013,
17:00:24,5.3184,5.3171,0.0013,
17:00:26,5.3204,5.3189,0.0015,
17:00:28,5.3206,5.3191,0.0015,
17:00:31,5.3222,5.3209,0.0013,
17:00:33,5.3234,5.3219,0.0015,
17:00:35,5.3244,5.3235,0.0009,
17:00:38,5.3265,5.3252,0.0013,
17:00:40,5.331,5.3299,0.0011,
17:00:42,5.3318,5.3305,0.0013,
17:00:44,5.3328,5.3316,0.0012,
17:00:47,5.2612,5.2604,0.0008,
17:00:49,5.2669,5.2658,0.0011,
17:00:51,5.2687,5.2674,0.0013,
17:00:54,5.2683,5.2671,0.0012,
17:00:56,5.2718,5.2706,0.0012,
17:00:58,5.2741,5.2726,0.0015,
17:01:01,5.2744,5.2734,0.0010,
17:01:03,5.2752,5.274,0.0012,
17:01:05,5.2761,5.2751,0.0010,
17:01:08,5.2779,5.2766,0.0013,
17:01:10,5.2781,5.2771,0.0010,
17:01:12,5.2801,5.2789,0.0012,
17:01:15,5.2806,5.2794,0.0012,
17:01:17,5.2805,5.2793,0.0012,
17:01:19,5.2809,5.2797,0.0012,
17:01:22,5.2824,5.2816,0.0008,
17:01:24,5.2836,5.2826,0.0010,
17:01:26,5.2834,5.2823,0.0011,
17:01:29,5.2844,5.2832,0.0012,
17:01:31,5.2856,5.2843,0.0013,
17:01:33,5.286,5.2851,0.0009,
17:01:36,5.288,5.2871,0.0009,
17:01:38,5.2888,5.2878,0.0010,
17:01:40,5.2883,5.2871,0.0012,
17:01:43,5.2896,5.2888,0.0008,
17:01:45,5.2897,5.2888,0.0009,
17:01:47,5.2929,5.2917,0.0012,
17:01:49,5.294,5.293,0.0010,
17:01:52,5.2946,5.2935,0.0011,
17:01:54,5.2953,5.2946,0.0007,
17:01:56,5.2958,5.2954,0.0004,
17:01:59,5.299,5.2982,0.0008,
17:02:01,5.3,5.2992,0.0008,
17:02:03,5.3012,5.3002,0.0010,
17:02:06,5.3018,5.3007,0.0011,
17:02:08,5.3019,5.3012,0.0007,
17:02:10,5.3029,5.3021,0.0008,
17:02:13,5.304,5.303,0.0010,
17:02:15,5.3031,5.3022,0.0009,
17:02:17,5.3045,5.3036,0.0009,
17:02:20,5.305,5.3042,0.0008,
17:02:22,5.3048,5.304,0.0008,
17:02:24,5.3038,5.3029,0.0009,
17:02:27,5.3041,5.303,0.0011,
17:02:29,5.3051,5.3044,0.0007,
17:02:31,5.3063,5.3054,0.0009,
17:02:34,5.3071,5.3062,0.0009,
17:02:36,5.3074,5.3065,0.0009,
17:02:38,5.3094,5.3087,0.0007,
17:02:41,5.3102,5.3093,0.0009,
17:02:43,5.3112,5.3105,0.0007,
17:02:45,5.3116,5.3108,0.0008,
17:02:48,5.3115,5.311,0.0005,
17:02:50,5.312,5.3113,0.0007,
17:02:52,5.3131,5.3124,0.0007,
17:02:55,5.3136,5.3129,0.0007,
,,,,
,,Average,0.0011,1.1 mV
,,Min,0.0003,0.3 mV
,,Max,0.0018,1.8 mV
