// Created:   10:44:28 05-20-21,,,,
,,,,
,,,,
,## 05-20-21_10AM_IDCABOT_P3.csv ##,,,
,CCC Pos #3,,,
,,,,
,,,,
,COOLER_DRV,IDCABOT,ERROR,
, RMS_VAC,RMS_VAC,VOLTS,
10:44:28,4.2113,4.2094,0.0019,
10:44:31,4.2148,4.2133,0.0015,
10:44:33,4.2216,4.2198,0.0018,
10:44:35,4.2237,4.2223,0.0014,
10:44:37,4.227,4.2255,0.0015,
10:44:40,4.2282,4.2266,0.0016,
10:44:42,4.2325,4.2307,0.0018,
10:44:44,4.2366,4.2345,0.0021,
10:44:47,4.2398,4.2383,0.0015,
10:44:49,4.242,4.2406,0.0014,
10:44:51,4.2446,4.2431,0.0015,
10:44:54,4.2471,4.2456,0.0015,
10:44:56,4.2502,4.249,0.0012,
10:44:58,4.3825,4.3808,0.0017,
10:45:01,4.3874,4.3854,0.0020,
10:45:03,4.3901,4.3879,0.0022,
10:45:06,4.3919,4.39,0.0019,
10:45:08,4.3979,4.3962,0.0017,
10:45:10,4.4031,4.4013,0.0018,
10:45:13,4.4046,4.4025,0.0021,
10:45:15,4.4052,4.4029,0.0023,
10:45:17,4.4091,4.4073,0.0018,
10:45:20,4.4114,4.4093,0.0021,
10:45:22,4.4162,4.4137,0.0025,
10:45:24,4.4188,4.4174,0.0014,
10:45:27,4.4211,4.4188,0.0023,
10:45:29,4.575,4.5732,0.0018,
10:45:31,4.5779,4.5761,0.0018,
10:45:33,4.5795,4.5775,0.0020,
10:45:36,4.5819,4.5799,0.0020,
10:45:38,4.585,4.584,0.0010,
10:45:40,4.5896,4.5878,0.0018,
10:45:43,4.5921,4.5906,0.0015,
10:45:45,4.7621,4.7607,0.0014,
10:45:47,4.7661,4.7646,0.0015,
10:45:50,4.7704,4.769,0.0014,
10:45:52,4.7744,4.7735,0.0009,
10:45:54,4.7764,4.7751,0.0013,
10:45:57,4.7807,4.7793,0.0014,
10:45:59,4.7815,4.78,0.0015,
10:46:01,4.7851,4.7849,0.0002,
10:46:04,4.7885,4.7874,0.0011,
10:46:06,4.7919,4.7908,0.0011,
10:46:08,4.7926,4.7915,0.0011,
10:46:11,4.794,4.7927,0.0013,
10:46:15,5.0122,5.0114,0.0008,
10:46:18,5.0153,5.015,0.0003,
10:46:20,5.0189,5.0182,0.0007,
10:46:22,5.0205,5.0197,0.0008,
10:46:25,5.0258,5.0252,0.0006,
10:46:27,5.028,5.0268,0.0012,
10:46:29,5.0327,5.0317,0.0010,
10:46:31,5.0341,5.0328,0.0013,
10:46:34,5.0339,5.0331,0.0008,
10:46:36,5.0374,5.0363,0.0011,
10:46:38,5.04,5.0392,0.0008,
10:46:43,5.1486,5.1478,0.0008,
10:46:45,5.153,5.1518,0.0012,
10:46:48,5.1567,5.1558,0.0009,
10:46:50,5.1583,5.157,0.0013,
10:46:52,5.1607,5.1596,0.0011,
10:46:55,5.1635,5.1622,0.0013,
10:46:57,5.1668,5.1652,0.0016,
10:46:59,5.1676,5.1663,0.0013,
10:47:02,5.1704,5.1691,0.0013,
10:47:04,5.1708,5.1697,0.0011,
10:47:06,5.1742,5.1734,0.0008,
10:47:09,5.1771,5.1741,0.0030,
10:47:13,5.281,5.2798,0.0012,
10:47:16,5.2877,5.2866,0.0011,
10:47:18,5.2903,5.2891,0.0012,
10:47:20,5.2936,5.2922,0.0014,
10:47:23,5.2977,5.2948,0.0029,
10:47:25,5.3035,5.3022,0.0013,
10:47:27,5.3635,5.3622,0.0013,
10:47:29,5.3661,5.3651,0.0010,
10:47:32,5.3685,5.3673,0.0012,
10:47:34,5.369,5.3675,0.0015,
10:47:36,5.3702,5.3692,0.0010,
10:47:39,5.3738,5.373,0.0008,
10:47:41,5.3763,5.3754,0.0009,
10:47:43,5.3799,5.379,0.0009,
10:47:46,5.3821,5.3809,0.0012,
10:47:48,5.3831,5.3817,0.0014,
10:47:50,5.3829,5.3812,0.0017,
10:47:53,5.3841,5.3829,0.0012,
10:47:55,5.3846,5.3836,0.0010,
10:47:57,5.3871,5.3857,0.0014,
10:48:00,5.3891,5.3879,0.0012,
10:48:02,5.3913,5.3904,0.0009,
10:48:04,5.392,5.3907,0.0013,
10:48:06,5.3956,5.3943,0.0013,
10:48:09,5.3964,5.3949,0.0015,
10:48:11,5.3966,5.3955,0.0011,
10:48:13,5.3986,5.3978,0.0008,
10:48:16,5.3999,5.3985,0.0014,
10:48:18,5.4006,5.3994,0.0012,
10:48:20,5.4028,5.4017,0.0011,
10:48:23,5.4045,5.4033,0.0012,
10:48:25,5.4037,5.4029,0.0008,
10:48:27,5.4067,5.4056,0.0011,
10:48:30,5.4068,5.4056,0.0012,
10:48:32,5.4092,5.4087,0.0005,
10:48:34,5.4015,5.3992,0.0023,
10:48:41,5.3536,5.3522,0.0014,
10:48:44,5.3537,5.3527,0.0010,
10:48:46,5.3544,5.3533,0.0011,
10:48:48,5.3554,5.3546,0.0008,
10:48:51,5.3561,5.3549,0.0012,
10:48:53,5.3576,5.3567,0.0009,
10:48:55,5.359,5.3578,0.0012,
10:48:57,5.3595,5.3585,0.0010,
10:49:00,5.3622,5.3614,0.0008,
10:49:02,5.3626,5.3617,0.0009,
10:49:04,5.3662,5.3656,0.0006,
10:49:07,5.3671,5.3663,0.0008,
10:49:09,5.3693,5.3683,0.0010,
10:49:11,5.3691,5.3682,0.0009,
10:49:14,5.3688,5.3678,0.0010,
10:49:16,5.3705,5.3696,0.0009,
10:49:18,5.3715,5.3702,0.0013,
10:49:21,5.3733,5.3725,0.0008,
10:49:23,5.373,5.3721,0.0009,
10:49:25,5.3746,5.3737,0.0009,
10:49:28,5.3727,5.3717,0.0010,
10:49:30,5.3749,5.374,0.0009,
10:49:32,5.3758,5.3753,0.0005,
10:49:34,5.377,5.3762,0.0008,
10:49:37,5.3784,5.3776,0.0008,
10:49:39,5.3803,5.3795,0.0008,
10:49:41,5.3813,5.3804,0.0009,
10:49:44,5.3825,5.3819,0.0006,
10:49:46,5.3845,5.3838,0.0007,
10:49:48,5.3858,5.3851,0.0007,
10:49:51,5.3861,5.3853,0.0008,
10:49:53,5.388,5.3872,0.0008,
10:49:55,5.3882,5.3873,0.0009,
10:49:58,5.3904,5.3899,0.0005,
10:50:00,5.3898,5.3897,0.0001,
10:50:03,5.3923,5.3919,0.0004,
10:50:05,5.3945,5.3936,0.0009,
10:50:07,5.3936,5.3931,0.0005,
10:50:10,5.3934,5.3925,0.0009,
10:50:12,5.3938,5.3932,0.0006,
