// Created:   11:36:19 05-20-21,,,,
,,,,
,,,,
,,## 05-20-21_11AM_IDCABOT_P4.csv ##,,
,,CCC Pos #4,,
,,,,
,,,,
,COOLER_DRV,IDCABOT,ERROR,
, RMS_VAC,RMS_VAC,VOLTS,
11:36:35,4.3731,4.3717,0.0014,
11:36:38,4.3759,4.3742,0.0017,
11:36:41,4.3779,4.3762,0.0017,
11:36:44,4.3805,4.378,0.0025,
11:36:46,4.3809,4.3784,0.0025,
11:36:49,4.3824,4.3807,0.0017,
11:36:52,4.533,4.5318,0.0012,
11:36:55,4.5375,4.5356,0.0019,
11:36:57,4.5382,4.5366,0.0016,
11:37:00,4.5397,4.5371,0.0026,
11:37:03,4.5402,4.5383,0.0019,
11:37:06,4.7076,4.7067,0.0009,
11:37:09,4.7126,4.7115,0.0011,
11:37:11,4.7158,4.7142,0.0016,
11:37:14,4.7172,4.7156,0.0016,
11:37:17,4.7181,4.7164,0.0017,
11:37:20,4.7198,4.7182,0.0016,
11:37:22,4.7245,4.7228,0.0017,
11:37:25,4.7252,4.7239,0.0013,
11:37:28,4.7263,4.7248,0.0015,
11:37:31,4.7276,4.7258,0.0018,
11:37:33,4.7298,4.7277,0.0021,
11:37:36,4.9358,4.9349,0.0009,
11:37:39,4.9397,4.9389,0.0008,
11:37:42,4.9436,4.9428,0.0008,
11:37:45,4.9459,4.9451,0.0008,
11:37:47,4.9467,4.9458,0.0009,
11:37:50,4.9485,4.9472,0.0013,
11:37:53,4.9504,4.9492,0.0012,
11:37:56,4.9523,4.9514,0.0009,
11:37:58,4.9558,4.955,0.0008,
11:38:01,4.9583,4.9573,0.0010,
11:38:07,5.0627,5.062,0.0007,
11:38:10,5.066,5.065,0.0010,
11:38:13,5.0696,5.0684,0.0012,
11:38:16,5.0713,5.07,0.0013,
11:38:19,5.0742,5.0724,0.0018,
11:38:21,5.0751,5.0737,0.0014,
11:38:25,5.0766,5.0756,0.0010,
11:38:28,5.0795,5.0781,0.0014,
11:38:30,5.0786,5.0773,0.0013,
11:38:33,5.0793,5.0781,0.0012,
11:38:36,5.1837,5.1828,0.0009,
11:38:39,5.1886,5.1871,0.0015,
11:38:42,5.1893,5.188,0.0013,
11:38:45,5.1902,5.1886,0.0016,
11:38:47,5.1923,5.1908,0.0015,
11:38:50,5.1931,5.1919,0.0012,
11:38:53,5.2563,5.2549,0.0014,
11:38:56,5.2602,5.2586,0.0016,
11:38:59,5.26,5.2586,0.0014,
11:39:01,5.2654,5.2637,0.0017,
11:39:04,5.2654,5.2639,0.0015,
11:39:07,5.2683,5.2666,0.0017,
11:39:10,5.2691,5.2675,0.0016,
11:39:13,5.2692,5.2674,0.0018,
11:39:15,5.2707,5.2691,0.0016,
11:39:18,5.2711,5.2699,0.0012,
11:39:21,5.273,5.2711,0.0019,
11:39:23,5.2752,5.2738,0.0014,
11:39:26,5.2773,5.2762,0.0011,
11:39:29,5.2778,5.2764,0.0014,
11:39:31,5.2796,5.2785,0.0011,
11:39:34,5.2792,5.2779,0.0013,
11:39:37,5.2807,5.2791,0.0016,
11:39:40,5.2816,5.2803,0.0013,
11:39:42,5.2823,5.2805,0.0018,
11:39:45,5.2821,5.2801,0.0020,
11:39:48,5.2822,5.2813,0.0009,
11:39:51,5.2846,5.2834,0.0012,
11:39:54,5.2834,5.2823,0.0011,
11:39:56,5.2864,5.2851,0.0013,
11:39:59,5.2871,5.286,0.0011,
11:40:02,5.2893,5.2875,0.0018,
11:40:05,5.29,5.2889,0.0011,
11:40:08,5.2905,5.2891,0.0014,
11:40:11,5.225,5.2221,0.0029,
11:40:14,5.2242,5.2228,0.0014,
11:40:16,5.2257,5.2244,0.0013,
11:40:19,5.227,5.2262,0.0008,
11:40:22,5.228,5.2266,0.0014,
11:40:25,5.2292,5.2279,0.0013,
11:40:28,5.2303,5.2292,0.0011,
11:40:30,5.2313,5.2299,0.0014,
11:40:33,5.2321,5.2298,0.0023,
11:40:36,5.2316,5.2304,0.0012,
11:40:39,5.2346,5.2333,0.0013,
11:40:42,5.2361,5.2348,0.0013,
11:40:44,5.2375,5.2361,0.0014,
11:40:47,5.2386,5.2375,0.0011,
11:40:50,5.2385,5.2369,0.0016,
11:40:53,5.2386,5.2377,0.0009,
11:40:55,5.2396,5.2385,0.0011,
11:40:58,5.2403,5.2391,0.0012,
11:41:01,5.2403,5.2395,0.0008,
11:41:04,5.2411,5.2401,0.0010,
11:41:06,5.2417,5.2412,0.0005,
11:41:09,5.2447,5.2434,0.0013,
11:41:12,5.244,5.2428,0.0012,
11:41:15,5.2475,5.2475,0.0000,
11:41:18,5.2485,5.2474,0.0011,
11:41:20,5.2485,5.2475,0.0010,
11:41:23,5.25,5.249,0.0010,
11:41:26,5.2499,5.2487,0.0012,
11:41:29,5.2495,5.2481,0.0014,
11:41:31,5.2491,5.2482,0.0009,
11:41:34,5.2473,5.2461,0.0012,
11:41:37,5.2477,5.2468,0.0009,
11:41:40,5.2494,5.2482,0.0012,
11:41:42,5.2496,5.2486,0.0010,
11:41:45,5.2514,5.2504,0.0010,
11:41:48,5.2524,5.2515,0.0009,
11:41:51,5.2534,5.2522,0.0012,
11:41:54,5.2533,5.2527,0.0006,
11:41:56,5.2562,5.2552,0.0010,
11:41:59,5.2566,5.2558,0.0008,
11:42:02,5.2557,5.2546,0.0011,
11:42:05,5.2553,5.254,0.0013,
11:42:07,5.2568,5.2559,0.0009,
11:42:10,5.2567,5.256,0.0007,
11:42:13,5.2563,5.2557,0.0006,
11:42:16,5.2557,5.2553,0.0004,
11:42:18,5.2582,5.2575,0.0007,
,,,,
,,Average,0.0013,1.3 mV
,,Min,0.0000,0 mV
,,Max,0.0029,2.9 mV
